Species	Temp	Pre_wavelength	Pre_mean_emission	Pre_se_emission	Post_wavelength	Post_mean_emission	Post_se_emission	Relative_emission	Condition
MontiB	40	585.721	2.7433333	0.005975336	585.721	6.9544444	0.261898393	4.2111111	HL
MontiB	28	607.934	3.7544444	0.234562456	607.934	5.28	0.268449242	1.5255556	HL
MontiB	34	607.934	3.95	0.022460662	607.934	9.67	0.756786474	5.72	HL
MontiB	37	607.934	3.7888889	0.041142719	607.934	7.1311111	0.143595127	3.3422222	HL
MontiB	40	607.934	4.49	0.01445345	607.934	7.2022222	0.248567424	2.7122222	HL
MontiB	28	649.746	1.9533333	0.144408551	649.746	2.8911111	0.153222113	0.9377778	HL
MontiB	34	649.746	2.0066667	0.024768982	649.746	6.2522222	0.469258262	4.2455555	HL
MontiB	37	649.746	1.9433333	0.039665483	649.746	4.4222222	0.094233611	2.4788889	HL
MontiB	40	649.746	2.3077778	0.033840456	649.746	4.4822222	0.166494295	2.1744444	HL
MontiB	28	667.984	0.9977778	0.075342737	667.984	1.3633333	0.073170485	0.3655555	HL
MontiB	34	667.984	1.2244444	0.038280918	667.984	3.6911111	0.234582775	2.4666667	HL
MontiB	37	667.984	1.0655556	0.060086918	667.984	2.9355556	0.04894994	1.87	HL
MontiB	40	667.984	1.2444444	0.048886731	667.984	2.81	0.092784796	1.5655556	HL
AcroG	28	516.18	5.12	0.049411973	516.18	7.5255556	0.06558032	2.4055556	HL
AcroG	34	516.18	4.8766667	0.022080654	516.18	9.0333333	0.319662737	4.1566666	HL
AcroG	37	516.18	6.08	0.249771658	516.18	10.7077778	0.089956932	4.6277778	HL
AcroG	40	516.18	4.4833333	0.1613952	516.18	4.1555556	0.089457263	-0.3277777	HL
AcroG	28	577.443	3.3911111	0.011844727	577.443	5.8811111	0.039412958	2.49	HL
AcroG	34	577.443	3.9155556	0.038532714	577.443	12.2266667	0.548748994	8.3111111	HL
AcroG	37	577.443	4.34	0.138007847	577.443	14.1977778	0.120743724	9.8577778	HL
AcroG	40	577.443	3.3888889	0.128796791	577.443	7.4355556	0.084439483	4.0466667	HL
AcroG	28	604.656	3.47	0.028948162	604.656	6.0355556	0.039790477	2.5655556	HL
AcroG	34	604.656	4.1388889	0.045895054	604.656	12.71	0.557278445	8.5711111	HL
AcroG	37	604.656	4.5377778	0.137352636	604.656	13.9855556	0.116180688	9.4477778	HL
AcroG	40	604.656	3.5855556	0.143811383	604.656	7.3	0.076688041	3.7144444	HL
AcroG	28	649.746	1.5444444	0.0243324	649.746	3.0155556	0.03062834	1.4711112	HL
AcroG	34	649.746	1.7822222	0.027262778	649.746	7.7022222	0.404504147	5.92	HL
AcroG	37	649.746	2.0955556	0.061189664	649.746	10.4366667	0.109317294	8.3411111	HL
AcroG	40	649.746	1.6955556	0.058392973	649.746	4.4833333	0.064359285	2.7877777	HL
AcroG	28	667.984	0.9444444	0.044403531	667.984	1.7722222	0.048608441	0.8277778	HL
AcroG	34	667.984	1.0911111	0.039019741	667.984	4.0244444	0.194907057	2.9333333	HL
AcroG	37	667.984	1.3188889	0.042493715	667.984	7.3311111	0.092977178	6.0122222	HL
AcroG	40	667.984	1.1244444	0.043095766	667.984	3.0677778	0.059156966	1.9433334	HL
AcroB	28	581.999	3.2777778	0.153466503	581.999	4.3688889	0.166512566	1.0911111	HL
AcroB	34	581.999	3.4677778	0.103978277	581.999	13.6688889	0.201205881	10.2011111	HL
AcroB	37	581.999	5.1122222	0.07107308	581.999	17.7966667	0.208433206	12.6844445	HL
AcroB	40	581.999	3.9277778	0.189169231	581.999	19.3055556	0.754351501	15.3777778	HL
AcroB	28	604.656	4.1044444	0.169041735	604.656	5.42	0.227877961	1.3155556	HL
AcroB	34	604.656	4.3177778	0.141829319	604.656	15.2655556	0.137315195	10.9477778	HL
AcroB	37	604.656	6.1877778	0.088835256	604.656	17.6522222	0.231305773	11.4644444	HL
AcroB	40	604.656	4.7622222	0.248435171	604.656	19.0122222	0.723842661	14.25	HL
AcroB	28	649.746	2.2555556	0.103968895	649.746	2.95	0.111905961	0.6944444	HL
AcroB	34	649.746	2.28	0.053930122	649.746	11.3755556	0.156185642	9.0955556	HL
AcroB	37	649.746	3.1566667	0.042538059	649.746	13.7466667	0.156892467	10.59	HL
AcroB	40	649.746	2.4644444	0.132243642	649.746	16.2788889	0.672765116	13.8144445	HL
AcroB	28	667.984	1.38	0.082946421	667.984	1.7366667	0.047571711	0.3566667	HL
AcroB	34	667.984	1.2788889	0.037125238	667.984	6.6877778	0.130867734	5.4088889	HL
AcroB	37	667.984	1.64	0.047444296	667.984	9.6755556	0.137837739	8.0355556	HL
AcroB	40	667.984	1.37	0.091870955	667.984	13.6244444	0.620878803	12.2544444	HL
